0 1 10 2 3 2315 1 4 3 2 0 4 0 52 2 0 1 1 1 0 0
0 0 12 4 8 1412 1 2 4 1 2 2 0 29 2 0 2 3 1 1 0
0 2 18 4 2 1295 1 1 4 1 0 1 1 27 2 0 2 2 1 0 0
1 2 36 2 6 12612 2 2 1 2 0 4 3 47 2 1 1 2 2 1 0
0 1 18 2 0 2249 2 3 4 2 0 3 2 30 2 0 1 3 2 1 0
1 1 12 0 5 1108 1 3 4 2 0 3 0 28 2 0 2 2 1 0 0
0 0 12 4 3 618 1 4 4 2 0 4 0 56 2 0 1 2 1 0 0
0 1 12 4 1 1409 1 4 4 2 0 3 0 54 2 0 1 2 1 0 0
1 0 12 4 3 797 0 4 4 1 0 3 1 33 0 0 1 1 2 0 0
0 3 24 4 2 3617 0 4 4 2 1 4 3 20 2 2 2 2 1 0 0
0 2 12 2 0 1318 4 4 4 2 0 4 0 54 2 0 1 2 1 1 0
1 2 54 0 8 15945 1 1 3 2 0 4 3 58 2 2 1 2 1 1 0
0 0 12 4 6 2012 0 3 4 1 0 2 2 61 2 0 1 2 1 0 0
0 2 18 2 8 2622 2 2 4 2 0 4 2 34 2 0 1 2 1 0 0
0 2 36 4 3 2337 1 4 4 2 0 4 0 36 2 0 1 2 1 0 0
0 2 20 3 1 7057 0 3 3 2 0 4 1 36 0 2 2 3 2 1 0
0 0 24 2 0 1469 2 4 4 3 0 4 0 41 2 2 1 1 1 0 0
0 2 36 2 3 2323 1 3 4 2 0 4 2 24 2 2 1 2 1 0 0
0 0 6 3 3 932 1 2 3 1 0 2 0 24 2 0 1 2 1 0 0
0 2 9 4 2 1919 1 3 4 2 0 3 2 35 2 2 1 2 1 1 0
0 0 12 2 1 2445 0 1 2 3 0 4 2 26 2 2 1 2 1 1 0
1 2 24 4 9 11938 1 2 2 2 1 3 2 39 2 0 2 3 2 1 0
1 0 18 1 0 6458 1 4 2 2 0 4 3 39 0 0 2 3 2 1 0
0 2 12 2 0 6078 1 3 2 2 0 2 2 32 2 0 1 2 1 0 0
0 1 24 2 2 7721 0 1 1 1 0 2 1 30 2 0 1 2 1 1 1
0 2 14 2 8 1410 3 4 1 3 0 2 0 35 2 0 1 2 1 1 0
0 2 6 3 8 1449 2 4 1 0 0 2 2 31 0 0 2 2 2 0 0
0 3 15 2 6 392 1 1 4 1 0 4 1 23 2 2 1 2 1 1 0
0 2 18 2 0 6260 1 3 3 2 0 3 0 28 2 2 1 1 1 0 0
1 0 36 4 0 7855 1 2 4 1 0 2 0 25 1 0 2 2 1 1 0
0 1 12 2 3 1680 3 4 3 3 0 1 0 35 2 0 1 2 1 0 0
0 0 48 4 3 3578 0 4 4 2 0 1 0 47 2 0 1 2 1 1 0
1 1 42 2 3 7174 0 3 4 1 0 3 2 30 2 0 1 3 1 1 0
0 1 10 4 2 2132 0 1 2 1 1 3 0 27 2 2 2 2 1 0 1
1 1 33 4 2 4281 3 2 1 1 0 4 2 23 2 0 2 2 1 0 0
0 2 12 4 0 2366 3 3 3 0 0 3 2 36 2 0 1 3 1 1 0
1 1 21 2 3 1835 1 2 3 1 0 2 0 25 2 0 2 2 1 1 0
0 0 24 4 1 3868 1 4 4 1 0 2 2 41 2 2 2 3 1 1 0
0 0 12 2 2 1768 1 2 3 2 0 2 0 24 2 2 1 1 1 0 0
0 3 10 4 0 781 1 4 4 2 0 4 3 63 2 1 2 2 1 1 0
1 2 18 2 2 1924 0 1 4 1 0 3 0 27 2 2 1 2 1 0 0
0 1 12 4 0 2121 1 2 4 2 0 2 1 30 2 0 2 2 1 0 0
0 1 12 2 3 701 1 2 4 3 0 2 0 40 2 0 1 1 1 0 0
1 2 12 2 5 639 1 2 4 2 0 2 2 30 2 0 1 2 1 0 0
0 2 12 4 1 1860 1 0 4 2 0 2 2 34 2 0 2 3 1 1 0
1 1 12 4 0 3499 1 2 3 1 1 2 0 29 2 0 2 2 1 0 0
0 2 48 2 0 8487 0 3 1 1 0 2 2 24 2 0 1 2 1 0 0
1 1 36 3 6 6887 1 2 4 2 0 3 1 29 1 0 1 2 1 1 0
0 0 15 2 2 2708 1 1 2 2 0 3 1 27 0 0 2 1 1 0 0
0 0 18 2 2 1984 1 2 4 2 0 4 3 47 0 1 2 2 1 0 0
0 0 60 2 3 10144 2 3 2 1 0 4 0 21 2 0 1 2 1 1 0
0 0 12 4 3 1240 0 4 4 1 0 2 0 38 2 0 2 2 1 1 0
0 0 27 3 1 8613 4 2 2 2 0 2 2 27 2 0 2 2 1 0 0
1 2 12 2 3 766 3 2 4 2 0 3 0 66 2 0 1 1 1 0 0
0 2 15 4 3 2728 0 3 4 2 2 2 0 35 0 0 3 2 1 1 0
0 3 12 2 3 1881 1 2 2 1 0 2 2 44 2 2 1 1 1 1 0
0 3 6 2 0 709 4 1 2 3 0 2 0 27 2 0 1 0 1 0 1
0 2 36 2 3 4795 1 1 4 1 0 1 3 30 2 0 1 3 1 1 0
0 1 27 2 3 3416 1 2 3 2 0 2 2 27 2 0 1 3 1 0 0
1 1 18 2 2 2462 1 2 2 2 0 2 2 22 2 0 1 2 1 0 0
0 0 21 4 2 2288 1 1 4 1 0 4 1 23 2 0 1 2 1 1 0
0 2 48 1 8 3566 2 3 4 2 0 2 2 30 2 0 1 2 1 0 0
0 1 6 4 0 860 1 4 1 1 0 4 3 39 2 0 2 2 1 1 0
0 0 12 4 0 682 2 3 4 1 0 3 2 51 2 0 2 2 1 1 0
0 1 36 4 2 5371 1 2 3 2 2 2 1 28 2 0 2 2 1 0 0
0 0 18 4 3 1582 4 4 4 2 0 4 2 46 2 0 2 2 1 0 0
0 0 6 2 3 1346 2 4 2 2 0 4 3 42 0 1 1 2 2 1 0
0 0 10 2 3 1924 1 2 1 2 0 4 1 38 2 0 1 2 1 1 1
0 3 36 2 3 5848 1 2 4 2 0 1 2 24 2 0 1 2 1 0 0
0 2 24 4 1 7758 4 4 2 1 0 4 3 29 2 2 1 2 1 0 0
0 2 24 3 8 6967 2 3 4 2 0 4 2 36 2 2 1 3 1 1 0
1 1 12 2 2 1282 1 2 2 1 0 4 2 20 2 2 1 2 1 0 0
0 1 9 4 5 1288 2 4 3 2 2 4 0 48 2 0 2 2 2 0 1
0 1 12 1 7 339 1 4 4 3 0 1 2 45 0 0 1 1 1 0 0
0 2 24 2 0 3512 2 3 2 2 0 3 2 38 0 0 2 2 1 1 0
0 0 6 4 3 1898 0 2 1 2 0 2 0 34 2 0 2 1 2 0 0
0 0 24 4 3 2872 2 4 3 2 0 4 0 36 2 0 1 2 2 1 0
0 0 18 4 0 1055 1 1 4 1 0 1 1 30 2 0 2 2 1 0 0
0 0 15 2 4 1262 3 3 4 2 0 3 1 36 2 0 2 2 1 1 0
0 2 10 2 0 7308 1 0 2 2 0 4 3 70 0 1 1 3 1 1 0
0 0 36 2 0 909 3 4 4 2 0 4 1 36 2 0 1 2 1 0 0
0 0 6 2 2 2978 3 2 1 2 0 2 2 32 2 0 1 2 1 1 0
1 1 18 2 2 1131 1 0 4 1 0 2 2 33 2 0 1 2 1 0 0
0 2 11 2 2 1577 4 1 4 1 0 1 0 20 2 0 1 2 1 0 0
0 0 24 2 2 3972 1 3 2 1 0 4 1 25 2 2 1 2 1 1 0
1 2 24 4 8 1935 1 4 4 0 0 4 0 31 2 0 2 2 1 1 0
1 1 15 0 0 950 1 4 4 2 0 3 2 33 2 2 2 2 2 0 0
0 0 12 2 2 763 1 2 4 1 0 1 0 26 2 0 1 2 1 1 0
1 2 24 3 2 2064 1 0 3 1 0 2 1 34 2 0 1 3 1 1 0
0 2 8 2 3 1414 1 2 4 2 2 2 0 33 2 0 1 2 1 0 1
1 1 21 3 6 3414 1 1 2 2 0 1 1 26 2 0 2 2 1 0 0
1 0 30 1 1 7485 0 0 4 1 0 1 0 53 0 0 1 3 1 1 0
0 1 12 2 2 2577 1 2 2 0 0 1 2 42 2 0 1 2 1 0 0
0 1 6 4 3 338 3 4 4 2 0 4 2 52 2 0 2 2 1 0 0
0 0 12 2 3 1963 1 3 4 2 0 2 2 31 2 2 2 3 2 1 0
0 1 21 4 0 571 1 4 4 2 0 4 0 65 2 0 2 2 1 0 0
1 0 36 3 8 9572 1 1 1 0 0 1 2 28 2 0 2 2 1 0 0
1 2 36 3 8 4455 1 2 2 0 0 2 0 30 1 0 2 3 1 1 0
1 1 21 1 0 1647 0 2 4 2 0 2 1 40 2 0 2 1 2 0 0
0 0 24 4 2 3777 4 2 4 2 0 4 0 50 2 0 1 2 1 1 0
1 2 18 4 0 884 1 4 4 2 0 4 2 36 0 0 1 2 2 1 0
0 0 15 4 3 1360 1 2 4 2 0 2 1 31 2 0 2 2 1 0 0
1 2 9 1 1 5129 1 4 2 1 0 4 3 74 0 1 1 3 2 1 0
0 2 16 4 0 1175 1 0 2 2 0 3 2 68 2 1 3 0 1 1 0
1 1 12 2 3 674 2 3 4 3 0 1 1 20 2 0 1 2 1 0 0
0 2 18 0 2 3244 1 2 1 1 0 4 2 33 0 0 2 2 1 1 0
1 0 24 2 8 4591 4 2 2 2 0 3 1 54 2 0 3 3 1 1 0
1 2 48 0 8 3844 2 3 4 2 0 4 3 34 2 1 1 1 2 0 0
1 2 27 2 8 3915 1 2 4 2 0 2 2 36 2 0 1 2 2 1 0
0 0 6 2 3 2108 1 3 2 3 0 2 0 29 2 2 1 2 1 0 0
1 2 45 2 3 3031 2 2 4 2 2 4 1 21 2 2 1 2 1 0 0
1 2 9 4 6 1501 1 4 2 1 0 3 2 34 2 0 2 3 1 1 0
0 0 6 4 3 1382 1 2 1 1 0 1 2 28 2 0 2 2 1 1 0
1 2 12 2 2 951 2 1 4 1 0 4 2 27 0 2 4 2 1 0 0
0 2 24 2 1 2760 0 4 4 2 0 4 3 36 0 1 1 2 1 1 0
1 2 18 3 2 4297 1 4 4 0 0 3 3 40 2 0 1 3 1 1 0
0 0 9 4 6 936 3 4 4 2 0 2 2 52 2 0 2 2 1 1 0
0 1 12 2 0 1168 1 2 4 3 0 3 0 27 2 0 1 1 1 0 0
0 0 27 3 8 5117 1 3 3 2 0 4 2 26 2 0 2 2 1 0 0
1 1 12 2 7 902 1 3 4 3 0 4 1 21 2 2 1 2 1 0 0
0 0 12 4 0 1495 1 4 4 2 0 1 0 38 2 0 2 1 2 0 0
0 1 30 4 1 10623 1 4 3 2 0 4 3 38 2 1 3 3 2 1 0
0 0 12 4 2 1935 1 4 4 2 0 4 0 43 2 0 3 2 1 1 0
0 2 12 4 4 1424 1 3 4 2 0 3 1 26 2 0 1 2 1 0 0
0 1 24 2 8 6568 1 2 2 3 0 2 2 21 1 0 1 1 1 0 0
0 0 12 2 1 1413 4 3 3 2 0 2 1 55 2 0 1 2 1 0 1
0 0 9 4 3 3074 0 2 1 2 0 2 0 33 2 0 2 2 2 0 0
0 0 36 2 3 3835 0 4 2 1 0 4 0 45 2 0 1 1 1 1 0
1 1 27 0 8 5293 1 0 2 2 0 4 1 50 1 0 2 2 1 1 0
1 3 30 3 8 1908 1 4 4 2 0 4 0 66 2 0 1 3 1 1 0
0 0 36 4 3 3342 0 4 4 2 0 2 2 51 2 0 1 2 1 1 0
0 2 6 4 7 932 0 3 1 1 0 3 1 39 2 0 2 1 1 0 0
0 1 18 0 8 3104 1 3 3 2 0 1 1 31 0 0 1 2 1 1 0
0 3 36 2 3 3913 1 2 2 2 0 2 0 23 2 0 1 2 1 1 0
0 1 24 2 2 3021 1 2 2 0 0 2 0 24 2 2 1 1 1 0 0
0 0 10 2 0 1364 1 2 2 1 0 4 2 64 2 0 1 2 1 1 0
0 2 12 2 3 625 1 1 4 3 2 1 0 26 0 0 1 1 1 0 0
0 1 12 2 6 1200 0 2 4 1 0 4 1 23 0 2 1 2 1 1 0
0 0 12 2 3 707 1 2 4 2 0 2 0 30 0 0 2 2 1 0 0
0 0 24 3 8 2978 0 2 4 2 0 4 0 32 2 0 2 2 2 1 0
0 0 15 2 1 4657 1 2 3 2 0 2 2 30 2 0 1 2 1 1 0
0 0 36 0 5 2613 1 2 4 2 0 2 2 27 2 0 2 2 1 0 0
1 2 48 2 3 10961 4 3 1 2 1 2 3 27 0 0 2 2 1 1 0
1 1 12 2 2 7865 1 4 4 2 0 4 3 53 2 1 1 3 1 1 0
1 0 9 2 3 1478 1 3 4 2 0 2 2 22 2 0 1 2 1 0 0
0 1 24 2 2 3149 1 1 4 2 0 1 3 22 0 1 1 2 1 0 0
1 3 36 2 3 4210 1 2 4 2 0 2 2 26 2 0 1 2 1 0 0
0 0 9 2 0 2507 3 4 2 2 0 4 3 51 2 1 1 1 1 0 0
0 0 12 2 3 2141 2 3 3 2 0 1 3 35 2 0 1 2 1 0 0
0 2 18 2 3 866 1 2 4 3 2 2 0 25 2 0 1 1 1 0 0
0 0 4 4 3 1544 1 3 2 2 0 1 0 42 2 0 3 1 2 0 0
1 1 24 2 3 1823 1 0 4 2 0 2 2 30 1 0 1 3 2 0 0
1 2 6 2 0 14555 0 0 1 2 0 2 1 23 2 0 1 0 1 1 0
1 2 21 2 8 2767 2 4 4 0 0 2 2 61 0 2 2 1 1 0 0
0 0 12 4 3 1291 1 2 4 1 0 2 1 35 2 0 2 2 1 0 0
0 1 30 2 3 2522 1 4 1 2 2 3 1 39 2 0 1 2 2 0 0
1 1 24 2 0 915 0 4 4 1 0 2 2 29 0 0 1 2 1 0 0
0 0 6 2 3 1595 1 3 3 2 0 2 1 51 2 0 1 2 2 0 0
1 1 48 0 1 4605 1 4 3 2 0 4 3 24 2 1 2 2 2 0 0
0 0 12 4 8 1185 1 2 3 1 0 2 0 27 2 0 2 2 1 0 0
0 0 12 1 7 3447 3 2 4 1 0 3 0 35 2 0 1 1 2 0 0
0 0 24 2 8 1258 1 3 4 2 0 1 0 25 2 0 1 2 1 1 0
0 0 12 4 3 717 1 4 4 2 0 4 0 52 2 0 3 2 1 0 0
0 0 6 0 0 1204 2 2 4 2 0 1 3 35 0 2 1 2 1 0 1
0 3 24 2 2 1925 1 2 2 2 0 2 0 26 2 0 1 2 1 0 0
1 0 18 2 3 433 1 0 3 1 1 4 0 22 2 2 1 2 1 0 0
0 1 6 4 0 666 4 3 3 1 0 4 0 39 2 0 2 1 1 1 0
0 3 12 2 2 2251 1 2 1 1 0 2 2 46 2 0 1 1 1 0 0
1 2 30 2 0 2150 1 2 4 1 2 2 3 24 0 0 1 2 1 0 0
0 0 24 3 2 4151 2 2 2 2 0 3 1 35 2 0 2 2 1 0 0
0 2 9 2 2 2030 0 3 2 2 0 1 2 24 2 0 1 2 1 1 0
0 2 60 3 3 7418 0 2 1 2 0 1 0 27 2 0 1 1 1 0 0
0 0 24 4 3 2684 1 2 4 2 0 2 0 35 2 0 2 1 1 0 0
1 1 12 1 3 2149 1 2 4 0 0 1 3 29 2 1 1 2 1 0 0
0 0 15 2 1 3812 2 1 1 1 0 4 2 23 2 0 1 2 1 1 0
0 0 11 4 3 1154 2 0 4 1 0 4 0 57 2 0 3 1 1 0 0
0 1 12 2 2 1657 1 2 2 2 0 2 0 27 2 0 1 2 1 0 0
0 1 24 2 3 1603 1 4 4 1 0 4 2 55 2 0 1 2 1 0 0
0 1 18 4 0 5302 1 4 2 2 0 4 3 36 2 1 3 3 1 1 0
0 0 12 4 6 2748 1 4 2 1 0 4 3 57 0 1 3 1 1 0 0
0 0 10 4 0 1231 1 4 3 2 0 4 0 32 2 0 2 1 2 0 1
1 2 15 2 3 802 1 4 4 2 0 3 2 37 2 0 1 2 2 0 0
0 0 36 4 8 6304 0 4 4 2 0 4 0 36 2 0 2 2 1 0 0
0 0 24 2 3 1533 1 1 4 1 0 3 2 38 1 0 1 2 1 1 0
1 1 14 2 0 8978 1 4 1 0 0 4 1 45 2 0 1 3 1 1 1
0 0 24 2 3 999 0 4 4 2 0 2 2 25 2 0 2 2 1 0 0
0 0 18 2 0 2662 0 3 4 2 0 3 1 32 2 0 1 2 1 0 1
0 0 12 4 2 1402 3 3 3 1 0 4 2 37 2 2 1 2 1 1 0
0 2 48 1 0 12169 0 0 4 2 1 4 3 36 2 1 1 3 1 1 0
1 2 48 2 3 3060 1 3 4 2 0 4 0 28 2 0 2 2 1 0 0
1 1 30 2 5 11998 1 1 1 0 0 1 3 34 2 0 1 1 1 1 0
0 0 9 2 3 2697 1 2 1 2 0 2 0 32 2 0 1 2 2 0 0
0 0 18 4 3 2404 1 2 2 1 0 2 2 26 2 0 2 2 1 0 0
0 1 12 2 2 1262 0 4 2 0 0 4 1 49 2 0 1 1 1 1 0
1 0 6 2 2 4611 1 1 1 1 0 4 1 32 2 0 1 2 1 0 0
0 0 24 2 3 1901 2 2 4 2 0 4 2 29 2 2 1 3 1 1 0
0 0 15 4 1 3368 4 4 3 2 0 4 3 23 2 2 2 2 1 1 0
0 0 12 2 2 1574 1 2 4 2 0 2 0 50 2 0 1 2 1 0 0
0 3 18 1 3 1445 0 3 4 2 0 4 2 49 0 0 1 1 1 0 0
0 0 15 4 2 1520 0 4 4 2 0 4 1 63 2 0 1 2 1 0 0
0 2 24 4 0 3878 2 1 4 0 0 2 2 37 2 0 1 2 1 1 0
0 1 47 2 0 10722 1 1 1 1 0 1 0 35 2 0 1 1 1 1 0
0 1 48 2 1 4788 1 3 4 2 0 3 1 26 2 0 1 2 2 0 0
0 2 48 3 9 7582 2 0 2 2 0 4 3 31 2 1 1 3 1 1 0
0 2 12 2 3 1092 1 2 4 1 2 4 0 49 2 0 2 2 1 1 0
1 1 24 3 3 1024 1 1 4 3 0 4 0 48 1 0 1 2 1 0 0
0 0 12 2 8 1076 1 2 2 3 0 2 0 26 2 0 1 2 1 1 1
1 2 36 2 1 9398 1 1 1 3 0 4 2 28 2 2 1 3 1 1 0
0 1 24 4 1 6419 1 4 2 1 0 4 3 44 2 1 2 3 2 1 0
0 3 42 4 1 4796 1 4 4 2 0 4 3 56 2 1 1 2 1 0 0
0 0 48 4 8 7629 0 4 4 0 0 2 2 46 0 0 2 3 2 0 0
1 2 48 2 2 9960 1 1 1 1 0 2 2 26 2 0 1 2 1 1 0
0 0 12 2 1 4675 0 1 1 1 0 4 2 20 2 2 1 2 1 0 0
0 0 10 2 0 1287 0 4 4 2 1 2 1 45 2 0 1 1 1 0 1
0 0 18 2 2 2515 1 2 3 2 0 4 0 43 2 0 1 2 1 1 0
0 2 21 4 2 2745 4 3 3 2 0 2 2 32 2 0 2 2 1 1 0
0 0 6 2 0 672 1 0 1 1 0 4 0 54 2 0 1 0 1 1 0
1 2 36 0 3 3804 1 2 4 1 0 1 2 42 2 0 1 2 1 1 0
1 3 24 4 0 1344 0 3 4 2 0 2 0 37 0 0 2 1 2 0 0
0 1 10 4 0 1038 1 3 4 2 1 3 1 49 2 0 2 2 1 1 0
1 0 48 4 0 10127 3 2 2 2 0 2 3 44 0 1 1 2 1 0 0
0 0 6 2 2 1543 4 2 4 0 0 2 0 33 2 0 1 2 1 0 0
0 0 30 2 1 4811 0 3 2 1 0 4 1 24 1 2 1 1 1 0 0
1 1 12 2 3 727 2 1 4 3 0 3 3 33 2 0 1 1 1 1 0
1 2 8 2 2 1237 1 2 3 1 0 4 0 24 2 0 1 2 1 0 0
0 2 9 2 0 276 1 2 4 3 0 4 0 22 2 2 1 1 1 0 0
0 2 48 2 9 5381 0 0 3 2 0 4 3 40 0 1 1 0 1 1 0
0 0 24 2 2 5511 2 2 4 2 0 1 2 25 1 0 1 2 1 0 0
0 3 24 2 2 3749 1 1 2 1 0 4 2 26 2 0 1 2 1 0 0
1 2 12 2 0 685 1 3 2 3 0 3 2 25 0 0 1 1 1 0 0
0 3 4 2 0 1494 0 1 1 2 0 2 0 29 2 0 1 1 2 0 1
1 1 36 1 2 2746 1 4 4 2 0 4 2 31 0 0 1 2 1 0 0
0 1 12 2 2 708 1 2 2 2 2 3 1 38 2 0 1 1 2 0 0
0 2 24 2 2 4351 0 2 1 1 0 4 1 48 2 0 1 1 1 1 0
0 0 12 4 6 701 1 2 4 2 0 2 2 32 2 0 2 2 1 0 0
0 1 15 3 2 3643 1 4 1 1 0 4 1 27 2 0 2 1 1 0 0
1 2 30 4 0 4249 1 0 4 3 0 2 2 28 2 0 2 3 1 0 0
1 1 24 2 3 1938 1 1 4 0 0 3 1 32 2 0 1 2 1 0 0
0 1 24 2 1 2910 1 3 2 2 0 1 3 34 2 1 1 3 1 1 0
0 1 18 2 2 2659 4 2 4 2 0 2 2 28 2 0 1 2 1 0 0
0 0 18 4 0 1028 1 2 4 1 0 3 0 36 2 0 2 2 1 0 0
0 1 8 4 0 3398 1 3 1 2 0 4 0 39 2 0 2 1 1 0 1
